category,question,answer
product_info,What payment methods do you accept?,We accept all major credit cards (Visa, MasterCard, Amex), PayPal, and wire transfers for enterprise clients.
product_info,Do you offer a free trial?,Yes! We offer a 14-day free trial with full access to all features. No credit card required.
product_info,What's included in the basic plan?,The basic plan includes up to 1000 API calls per month, 2 team members, and email support.
support,How do I reset my password?,You can reset your password by clicking 'Forgot Password' on the login page. A reset link will be sent to your email.
support,Do you offer phone support?,Phone support is available for Pro and Enterprise plans during business hours (9 AM - 6 PM EST).
support,How quickly do you respond to support tickets?,We aim to respond to all tickets within 24 hours. Pro and Enterprise customers receive priority support with 4-hour response times.
billing,Can I cancel anytime?,Yes, you can cancel your subscription at any time. Your access will continue until the end of your current billing period.
billing,Do you offer refunds?,We offer a 30-day money-back guarantee for annual plans. Monthly plans are not eligible for refunds.
billing,How do I upgrade my plan?,You can upgrade your plan anytime from your account dashboard. Upgrades take effect immediately.
technical,What's your uptime guarantee?,We guarantee 99.9% uptime with our SLA. Any downtime beyond this results in service credits.
technical,Is my data encrypted?,Yes, all data is encrypted in transit (TLS 1.3) and at rest (AES-256 encryption).
technical,Do you support API integrations?,Absolutely! We offer a REST API and SDKs for Python, JavaScript, and Ruby.
